product_id,category,price
PROD_001,Sports,154.57
PROD_002,Clothing,248.14
PROD_003,Toys,292.83
PROD_004,Electronics,31.43
PROD_005,Home & Garden,70.27
PROD_006,Toys,283.73
PROD_007,Electronics,178.15
PROD_008,Sports,367.3
PROD_009,Clothing,329.62
PROD_010,Clothing,424.35
PROD_011,Clothing,349.32
PROD_012,Sports,220.67
PROD_013,Electronics,339.75
PROD_014,Sports,144.94
PROD_015,Clothing,160.09
PROD_016,Toys,396.6
PROD_017,Home & Garden,228.75
PROD_018,Sports,401.21
PROD_019,Sports,412.99
PROD_020,Electronics,430.21
PROD_021,Electronics,459.15
PROD_022,Sports,221.18
PROD_023,Clothing,166.24
PROD_024,Home & Garden,295.28
PROD_025,Electronics,191.87
PROD_026,Clothing,304.53
PROD_027,Toys,355.74
PROD_028,Electronics,347.32
PROD_029,Clothing,193.53
PROD_030,Clothing,91.76
PROD_031,Home & Garden,220.96
PROD_032,Home & Garden,79.87
PROD_033,Toys,446.15
PROD_034,Clothing,179.48
PROD_035,Clothing,85.69
PROD_036,Home & Garden,22.47
PROD_037,Electronics,326.45
PROD_038,Electronics,322.08
PROD_039,Sports,176.9
PROD_040,Home & Garden,45.14
PROD_041,Sports,210.72
PROD_042,Home & Garden,162.5
PROD_043,Toys,341.79
PROD_044,Clothing,306.83
PROD_045,Toys,188.65
PROD_046,Home & Garden,116.77
PROD_047,Clothing,494.14
PROD_048,Electronics,232.46
PROD_049,Electronics,347.25
PROD_050,Sports,78.87
